asin,price_mean,price_max,price_min,bsr_mean,bsr_max,bsr_min,score_mean,score_max,score_min,url,upload_date
B085Y2YLNL,17.99,17.99,17.99,68865.25,118140,19719,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085Y2YLNL.jpg,2020-03-15
B0864NKW7N,15.99,15.99,15.99,69630.625,118861,28694,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0864NKW7N.jpg,2020-03-19
B085T2H66K,17.99,17.99,17.99,70423.0,107067,36127,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085T2H66K.jpg,2020-03-11
B089NK9KGB,17.32333333333333,18.99,16.99,70910.83333333333,111512,34135,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089NK9KGB.jpg,2020-06-03
B089LNCH33,19.32333333333333,19.49,18.49,71440.33333333333,124632,20242,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LNCH33.jpg,2020-06-02
B0863YY1SN,18.275714285714287,18.99,17.99,72096.42857142857,142478,21507,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0863YY1SN.jpg,2020-03-19
B089LQCMYK,15.49,15.49,15.49,72145.83333333334,139130,46625,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LQCMYK.jpg,2020-06-02
B0869DZYFH,18.95,18.95,18.95,72220.88888888889,116632,26444,4.444444444444445,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0869DZYFH.jpg,2020-03-23
B085Y27QTW,15.74,16.99,14.99,72349.25,111705,22272,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085Y27QTW.jpg,2020-03-15
B0869DBY2J,17.95,17.95,17.95,73483.22222222222,146784,30479,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0869DBY2J.jpg,2020-03-23
B0866QJLW6,19.99,19.99,19.99,73688.0,112561,40825,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866QJLW6.jpg,2020-03-20
B0869ZZJX4,19.99,19.99,19.99,73783.62500000001,115124,36442,4.375,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0869ZZJX4.jpg,2020-03-24
B085XKYVM9,19.99,19.99,19.99,73903.25,117811,27047,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085XKYVM9.jpg,2020-03-15
B085SQ779K,17.95,17.95,17.95,74007.2,96302,51838,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SQ779K.jpg,2020-03-11
B089NKTFXT,16.99,16.99,16.99,74383.0,113110,37973,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089NKTFXT.jpg,2020-06-03
B086CYFZB5,14.99,14.99,14.99,76059.83333333334,115266,37994,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086CYFZB5.jpg,2020-03-25
B085SQJRWF,17.95,17.95,17.95,77281.5,102508,50848,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SQJRWF.jpg,2020-03-11
B089LCMDND,16.426666666666666,17.99,13.3,77530.0,105961,41778,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCMDND.jpg,2020-06-02
B0869PT9G5,15.99,15.99,15.99,78158.75,153005,25488,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0869PT9G5.jpg,2020-03-24
B085V78QF6,16.99,16.99,16.99,78475.33333333333,158673,29352,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V78QF6.jpg,2020-03-12
B089LG5FBV,15.99,15.99,15.99,78564.33333333334,129794,24466,5.0,5.0,5.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LG5FBV.jpg,2020-06-02
B089NKGTLW,16.99,16.99,16.99,79428.83333333334,143479,37193,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089NKGTLW.jpg,2020-06-03
B089LT9X6Q,18.89,18.89,18.89,80983.5,123103,48143,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LT9X6Q.jpg,2020-06-02
B085SQGWK4,17.95,17.95,17.95,81621.2,111265,37006,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SQGWK4.jpg,2020-03-11
B0862X9LDQ,17.49,17.49,17.49,84874.75,141819,28204,3.7624999999999997,4.3,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0862X9LDQ.jpg,2020-03-18
B08621CXT1,18.865,18.99,17.99,84984.625,148661,38815,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B08621CXT1.jpg,2020-03-17
B085YKMSNZ,16.49,16.49,16.49,85223.875,141729,29654,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085YKMSNZ.jpg,2020-03-16
B089P4T7WJ,19.99,19.99,19.99,85587.33333333333,150383,22937,4.166666666666667,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089P4T7WJ.jpg,2020-06-04
